name,value,n,index,kategori,lokasjon
Aldring av befolkningen,2.64,395,1,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt arbeidsinnvandring,1.93,395,2,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere flyktninger,2.17,395,3,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Grønt skifte og klimautfordringer,2.1,395,4,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Manglende etterspurt kompetanse blant arbeidssøkere,2.64,395,5,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt omstillingstakt i arbeidslivet,2.64,395,6,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere med fysiske og psykiske lidelser,2.47,395,7,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere unge i utenforskap,2.62,395,8,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere fattige,2.3,395,9,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Innstramming/effektivisering av off. sektor,2.52,395,10,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Lavere tillit til offentlig sektor,1.83,395,11,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til brukermedvirkning,2.41,395,12,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Digitaliseringen av offentlige tjenester øker,2.73,395,13,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til samarbeid på tvers av sektorer,2.56,395,14,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Sentralisering av offentlige tjenester,2.11,395,15,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere internasjonale konflikter/kriger,2.1,395,16,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til at off. tjenester har effekt,2.47,395,17,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.31,395,18,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt mangel på arbeidskraft,2.56,395,19,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økende politisk polarisering og konfliktnivå i Norge,1.95,395,20,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Aldring av befolkningen,2.56,1777,22,Nav som helhet,NAV-kontor
Økt arbeidsinnvandring,2,1777,23,Nav som helhet,NAV-kontor
Flere flyktninger,2.27,1777,24,Nav som helhet,NAV-kontor
Grønt skifte og klimautfordringer,2.06,1777,25,Nav som helhet,NAV-kontor
Manglende etterspurt kompetanse blant arbeidssøkere,2.57,1777,26,Nav som helhet,NAV-kontor
Økt omstillingstakt i arbeidslivet,2.52,1777,27,Nav som helhet,NAV-kontor
Flere med fysiske og psykiske lidelser,2.62,1777,28,Nav som helhet,NAV-kontor
Flere unge i utenforskap,2.59,1777,29,Nav som helhet,NAV-kontor
Flere fattige,2.46,1777,30,Nav som helhet,NAV-kontor
Innstramming/effektivisering av off. sektor,2.54,1777,31,Nav som helhet,NAV-kontor
Lavere tillit til offentlig sektor,1.92,1777,32,Nav som helhet,NAV-kontor
Økte forventninger til brukermedvirkning,2.37,1777,33,Nav som helhet,NAV-kontor
Digitaliseringen av offentlige tjenester øker,2.67,1777,34,Nav som helhet,NAV-kontor
Økte forventninger til samarbeid på tvers av sektorer,2.52,1777,35,Nav som helhet,NAV-kontor
Sentralisering av offentlige tjenester,2.22,1777,36,Nav som helhet,NAV-kontor
Flere internasjonale konflikter/kriger,2.14,1777,37,Nav som helhet,NAV-kontor
Økte forventninger til at off. tjenester har effekt,2.43,1777,38,Nav som helhet,NAV-kontor
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.38,1777,39,Nav som helhet,NAV-kontor
Økt mangel på arbeidskraft,2.44,1777,40,Nav som helhet,NAV-kontor
Økende politisk polarisering og konfliktnivå i Norge,1.96,1777,41,Nav som helhet,NAV-kontor
Aldring av befolkningen,2.8,271,43,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økt arbeidsinnvandring,2.05,271,44,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Flere flyktninger,2.2,271,45,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Grønt skifte og klimautfordringer,2.16,271,46,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Manglende etterspurt kompetanse blant arbeidssøkere,2.16,271,47,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økt omstillingstakt i arbeidslivet,2.47,271,48,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Flere med fysiske og psykiske lidelser,2.5,271,49,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Flere unge i utenforskap,2.39,271,50,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Flere fattige,2.35,271,51,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Innstramming/effektivisering av off. sektor,2.76,271,52,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Lavere tillit til offentlig sektor,1.92,271,53,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økte forventninger til brukermedvirkning,2.55,271,54,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Digitaliseringen av offentlige tjenester øker,2.77,271,55,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økte forventninger til samarbeid på tvers av sektorer,2.45,271,56,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Sentralisering av offentlige tjenester,2.23,271,57,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Flere internasjonale konflikter/kriger,2.05,271,58,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økte forventninger til at off. tjenester har effekt,2.44,271,59,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.34,271,60,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økt mangel på arbeidskraft,2.23,271,61,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Økende politisk polarisering og konfliktnivå i Norge,1.92,271,62,Nav som helhet,NAV Hjelpemidler og tilrettelegging
Aldring av befolkningen,2.56,197,64,Nav som helhet,NAV Kontaktsenter
Økt arbeidsinnvandring,2.1,197,65,Nav som helhet,NAV Kontaktsenter
Flere flyktninger,2.2,197,66,Nav som helhet,NAV Kontaktsenter
Grønt skifte og klimautfordringer,2.04,197,67,Nav som helhet,NAV Kontaktsenter
Manglende etterspurt kompetanse blant arbeidssøkere,2.29,197,68,Nav som helhet,NAV Kontaktsenter
Økt omstillingstakt i arbeidslivet,2.48,197,69,Nav som helhet,NAV Kontaktsenter
Flere med fysiske og psykiske lidelser,2.56,197,70,Nav som helhet,NAV Kontaktsenter
Flere unge i utenforskap,2.52,197,71,Nav som helhet,NAV Kontaktsenter
Flere fattige,2.52,197,72,Nav som helhet,NAV Kontaktsenter
Innstramming/effektivisering av off. sektor,2.53,197,73,Nav som helhet,NAV Kontaktsenter
Lavere tillit til offentlig sektor,1.95,197,74,Nav som helhet,NAV Kontaktsenter
Økte forventninger til brukermedvirkning,2.39,197,75,Nav som helhet,NAV Kontaktsenter
Digitaliseringen av offentlige tjenester øker,2.76,197,76,Nav som helhet,NAV Kontaktsenter
Økte forventninger til samarbeid på tvers av sektorer,2.42,197,77,Nav som helhet,NAV Kontaktsenter
Sentralisering av offentlige tjenester,2.15,197,78,Nav som helhet,NAV Kontaktsenter
Flere internasjonale konflikter/kriger,2.08,197,79,Nav som helhet,NAV Kontaktsenter
Økte forventninger til at off. tjenester har effekt,2.48,197,80,Nav som helhet,NAV Kontaktsenter
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.47,197,81,Nav som helhet,NAV Kontaktsenter
Økt mangel på arbeidskraft,2.33,197,82,Nav som helhet,NAV Kontaktsenter
Økende politisk polarisering og konfliktnivå i Norge,2,197,83,Nav som helhet,NAV Kontaktsenter
Aldring av befolkningen,2.53,345,85,Nav som helhet,NAV Arbeid og ytelser
Økt arbeidsinnvandring,2.08,345,86,Nav som helhet,NAV Arbeid og ytelser
Flere flyktninger,2.17,345,87,Nav som helhet,NAV Arbeid og ytelser
Grønt skifte og klimautfordringer,1.98,345,88,Nav som helhet,NAV Arbeid og ytelser
Manglende etterspurt kompetanse blant arbeidssøkere,2.26,345,89,Nav som helhet,NAV Arbeid og ytelser
Økt omstillingstakt i arbeidslivet,2.46,345,90,Nav som helhet,NAV Arbeid og ytelser
Flere med fysiske og psykiske lidelser,2.54,345,91,Nav som helhet,NAV Arbeid og ytelser
Flere unge i utenforskap,2.48,345,92,Nav som helhet,NAV Arbeid og ytelser
Flere fattige,2.31,345,93,Nav som helhet,NAV Arbeid og ytelser
Innstramming/effektivisering av off. sektor,2.51,345,94,Nav som helhet,NAV Arbeid og ytelser
Lavere tillit til offentlig sektor,1.98,345,95,Nav som helhet,NAV Arbeid og ytelser
Økte forventninger til brukermedvirkning,2.27,345,96,Nav som helhet,NAV Arbeid og ytelser
Digitaliseringen av offentlige tjenester øker,2.73,345,97,Nav som helhet,NAV Arbeid og ytelser
Økte forventninger til samarbeid på tvers av sektorer,2.37,345,98,Nav som helhet,NAV Arbeid og ytelser
Sentralisering av offentlige tjenester,2.21,345,99,Nav som helhet,NAV Arbeid og ytelser
Flere internasjonale konflikter/kriger,2.07,345,100,Nav som helhet,NAV Arbeid og ytelser
Økte forventninger til at off. tjenester har effekt,2.43,345,101,Nav som helhet,NAV Arbeid og ytelser
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.39,345,102,Nav som helhet,NAV Arbeid og ytelser
Økt mangel på arbeidskraft,2.26,345,103,Nav som helhet,NAV Arbeid og ytelser
Økende politisk polarisering og konfliktnivå i Norge,1.96,345,104,Nav som helhet,NAV Arbeid og ytelser
Aldring av befolkningen,2.64,195,106,Nav som helhet,NAV Familie- og pensjonsytelser
Økt arbeidsinnvandring,2,195,107,Nav som helhet,NAV Familie- og pensjonsytelser
Flere flyktninger,2.11,195,108,Nav som helhet,NAV Familie- og pensjonsytelser
Grønt skifte og klimautfordringer,2.06,195,109,Nav som helhet,NAV Familie- og pensjonsytelser
Manglende etterspurt kompetanse blant arbeidssøkere,2.26,195,110,Nav som helhet,NAV Familie- og pensjonsytelser
Økt omstillingstakt i arbeidslivet,2.46,195,111,Nav som helhet,NAV Familie- og pensjonsytelser
Flere med fysiske og psykiske lidelser,2.48,195,112,Nav som helhet,NAV Familie- og pensjonsytelser
Flere unge i utenforskap,2.41,195,113,Nav som helhet,NAV Familie- og pensjonsytelser
Flere fattige,2.34,195,114,Nav som helhet,NAV Familie- og pensjonsytelser
Innstramming/effektivisering av off. sektor,2.62,195,115,Nav som helhet,NAV Familie- og pensjonsytelser
Lavere tillit til offentlig sektor,1.92,195,116,Nav som helhet,NAV Familie- og pensjonsytelser
Økte forventninger til brukermedvirkning,2.44,195,117,Nav som helhet,NAV Familie- og pensjonsytelser
Digitaliseringen av offentlige tjenester øker,2.82,195,118,Nav som helhet,NAV Familie- og pensjonsytelser
Økte forventninger til samarbeid på tvers av sektorer,2.41,195,119,Nav som helhet,NAV Familie- og pensjonsytelser
Sentralisering av offentlige tjenester,2.18,195,120,Nav som helhet,NAV Familie- og pensjonsytelser
Flere internasjonale konflikter/kriger,2.13,195,121,Nav som helhet,NAV Familie- og pensjonsytelser
Økte forventninger til at off. tjenester har effekt,2.54,195,122,Nav som helhet,NAV Familie- og pensjonsytelser
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.42,195,123,Nav som helhet,NAV Familie- og pensjonsytelser
Økt mangel på arbeidskraft,2.22,195,124,Nav som helhet,NAV Familie- og pensjonsytelser
Økende politisk polarisering og konfliktnivå i Norge,1.97,195,125,Nav som helhet,NAV Familie- og pensjonsytelser
Aldring av befolkningen,2.47,58,127,Nav som helhet,NAV Klageinstans
Økt arbeidsinnvandring,1.93,58,128,Nav som helhet,NAV Klageinstans
Flere flyktninger,2.02,58,129,Nav som helhet,NAV Klageinstans
Grønt skifte og klimautfordringer,1.98,58,130,Nav som helhet,NAV Klageinstans
Manglende etterspurt kompetanse blant arbeidssøkere,2.53,58,131,Nav som helhet,NAV Klageinstans
Økt omstillingstakt i arbeidslivet,2.4,58,132,Nav som helhet,NAV Klageinstans
Flere med fysiske og psykiske lidelser,2.47,58,133,Nav som helhet,NAV Klageinstans
Flere unge i utenforskap,2.59,58,134,Nav som helhet,NAV Klageinstans
Flere fattige,2.22,58,135,Nav som helhet,NAV Klageinstans
Innstramming/effektivisering av off. sektor,2.34,58,136,Nav som helhet,NAV Klageinstans
Lavere tillit til offentlig sektor,2.05,58,137,Nav som helhet,NAV Klageinstans
Økte forventninger til brukermedvirkning,2.28,58,138,Nav som helhet,NAV Klageinstans
Digitaliseringen av offentlige tjenester øker,2.67,58,139,Nav som helhet,NAV Klageinstans
Økte forventninger til samarbeid på tvers av sektorer,2.43,58,140,Nav som helhet,NAV Klageinstans
Sentralisering av offentlige tjenester,2.05,58,141,Nav som helhet,NAV Klageinstans
Flere internasjonale konflikter/kriger,1.98,58,142,Nav som helhet,NAV Klageinstans
Økte forventninger til at off. tjenester har effekt,2.52,58,143,Nav som helhet,NAV Klageinstans
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.41,58,144,Nav som helhet,NAV Klageinstans
Økt mangel på arbeidskraft,2.36,58,145,Nav som helhet,NAV Klageinstans
Økende politisk polarisering og konfliktnivå i Norge,1.88,58,146,Nav som helhet,NAV Klageinstans
Aldring av befolkningen,2.58,72,148,Nav som helhet,NAV Kontroll
Økt arbeidsinnvandring,2.11,72,149,Nav som helhet,NAV Kontroll
Flere flyktninger,2.28,72,150,Nav som helhet,NAV Kontroll
Grønt skifte og klimautfordringer,1.94,72,151,Nav som helhet,NAV Kontroll
Manglende etterspurt kompetanse blant arbeidssøkere,2.31,72,152,Nav som helhet,NAV Kontroll
Økt omstillingstakt i arbeidslivet,2.39,72,153,Nav som helhet,NAV Kontroll
Flere med fysiske og psykiske lidelser,2.39,72,154,Nav som helhet,NAV Kontroll
Flere unge i utenforskap,2.42,72,155,Nav som helhet,NAV Kontroll
Flere fattige,2.31,72,156,Nav som helhet,NAV Kontroll
Innstramming/effektivisering av off. sektor,2.43,72,157,Nav som helhet,NAV Kontroll
Lavere tillit til offentlig sektor,2.11,72,158,Nav som helhet,NAV Kontroll
Økte forventninger til brukermedvirkning,2.29,72,159,Nav som helhet,NAV Kontroll
Digitaliseringen av offentlige tjenester øker,2.71,72,160,Nav som helhet,NAV Kontroll
Økte forventninger til samarbeid på tvers av sektorer,2.32,72,161,Nav som helhet,NAV Kontroll
Sentralisering av offentlige tjenester,2.01,72,162,Nav som helhet,NAV Kontroll
Flere internasjonale konflikter/kriger,2.14,72,163,Nav som helhet,NAV Kontroll
Økte forventninger til at off. tjenester har effekt,2.47,72,164,Nav som helhet,NAV Kontroll
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.46,72,165,Nav som helhet,NAV Kontroll
Økt mangel på arbeidskraft,2.24,72,166,Nav som helhet,NAV Kontroll
Økende politisk polarisering og konfliktnivå i Norge,1.93,72,167,Nav som helhet,NAV Kontroll
Aldring av befolkningen,2.72,61,169,Nav som helhet,NAV Økonomitjeneste
Økt arbeidsinnvandring,2.2,61,170,Nav som helhet,NAV Økonomitjeneste
Flere flyktninger,2.31,61,171,Nav som helhet,NAV Økonomitjeneste
Grønt skifte og klimautfordringer,2.28,61,172,Nav som helhet,NAV Økonomitjeneste
Manglende etterspurt kompetanse blant arbeidssøkere,2.44,61,173,Nav som helhet,NAV Økonomitjeneste
Økt omstillingstakt i arbeidslivet,2.51,61,174,Nav som helhet,NAV Økonomitjeneste
Flere med fysiske og psykiske lidelser,2.51,61,175,Nav som helhet,NAV Økonomitjeneste
Flere unge i utenforskap,2.44,61,176,Nav som helhet,NAV Økonomitjeneste
Flere fattige,2.3,61,177,Nav som helhet,NAV Økonomitjeneste
Innstramming/effektivisering av off. sektor,2.43,61,178,Nav som helhet,NAV Økonomitjeneste
Lavere tillit til offentlig sektor,2,61,179,Nav som helhet,NAV Økonomitjeneste
Økte forventninger til brukermedvirkning,2.54,61,180,Nav som helhet,NAV Økonomitjeneste
Digitaliseringen av offentlige tjenester øker,2.87,61,181,Nav som helhet,NAV Økonomitjeneste
Økte forventninger til samarbeid på tvers av sektorer,2.59,61,182,Nav som helhet,NAV Økonomitjeneste
Sentralisering av offentlige tjenester,2.3,61,183,Nav som helhet,NAV Økonomitjeneste
Flere internasjonale konflikter/kriger,2.07,61,184,Nav som helhet,NAV Økonomitjeneste
Økte forventninger til at off. tjenester har effekt,2.62,61,185,Nav som helhet,NAV Økonomitjeneste
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.52,61,186,Nav som helhet,NAV Økonomitjeneste
Økt mangel på arbeidskraft,2.39,61,187,Nav som helhet,NAV Økonomitjeneste
Økende politisk polarisering og konfliktnivå i Norge,1.95,61,188,Nav som helhet,NAV Økonomitjeneste
Aldring av befolkningen,2.59,276,190,Nav som helhet,Arbeids- og velferdsdirektoratet
Økt arbeidsinnvandring,1.85,276,191,Nav som helhet,Arbeids- og velferdsdirektoratet
Flere flyktninger,1.97,276,192,Nav som helhet,Arbeids- og velferdsdirektoratet
Grønt skifte og klimautfordringer,1.96,276,193,Nav som helhet,Arbeids- og velferdsdirektoratet
Manglende etterspurt kompetanse blant arbeidssøkere,2.33,276,194,Nav som helhet,Arbeids- og velferdsdirektoratet
Økt omstillingstakt i arbeidslivet,2.43,276,195,Nav som helhet,Arbeids- og velferdsdirektoratet
Flere med fysiske og psykiske lidelser,2.27,276,196,Nav som helhet,Arbeids- og velferdsdirektoratet
Flere unge i utenforskap,2.38,276,197,Nav som helhet,Arbeids- og velferdsdirektoratet
Flere fattige,2.05,276,198,Nav som helhet,Arbeids- og velferdsdirektoratet
Innstramming/effektivisering av off. sektor,2.37,276,199,Nav som helhet,Arbeids- og velferdsdirektoratet
Lavere tillit til offentlig sektor,1.84,276,200,Nav som helhet,Arbeids- og velferdsdirektoratet
Økte forventninger til brukermedvirkning,2.33,276,201,Nav som helhet,Arbeids- og velferdsdirektoratet
Digitaliseringen av offentlige tjenester øker,2.7,276,202,Nav som helhet,Arbeids- og velferdsdirektoratet
Økte forventninger til samarbeid på tvers av sektorer,2.55,276,203,Nav som helhet,Arbeids- og velferdsdirektoratet
Sentralisering av offentlige tjenester,1.86,276,204,Nav som helhet,Arbeids- og velferdsdirektoratet
Flere internasjonale konflikter/kriger,1.91,276,205,Nav som helhet,Arbeids- og velferdsdirektoratet
Økte forventninger til at off. tjenester har effekt,2.36,276,206,Nav som helhet,Arbeids- og velferdsdirektoratet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.26,276,207,Nav som helhet,Arbeids- og velferdsdirektoratet
Økt mangel på arbeidskraft,2.22,276,208,Nav som helhet,Arbeids- og velferdsdirektoratet
Økende politisk polarisering og konfliktnivå i Norge,1.83,276,209,Nav som helhet,Arbeids- og velferdsdirektoratet
Aldring av befolkningen,2.59,3656,211,Nav som helhet,Total
Økt arbeidsinnvandring,2,3656,212,Nav som helhet,Total
Flere flyktninger,2.2,3656,213,Nav som helhet,Total
Grønt skifte og klimautfordringer,2.06,3656,214,Nav som helhet,Total
Manglende etterspurt kompetanse blant arbeidssøkere,2.46,3656,215,Nav som helhet,Total
Økt omstillingstakt i arbeidslivet,2.51,3656,216,Nav som helhet,Total
Flere med fysiske og psykiske lidelser,2.54,3656,217,Nav som helhet,Total
Flere unge i utenforskap,2.53,3656,218,Nav som helhet,Total
Flere fattige,2.38,3656,219,Nav som helhet,Total
Innstramming/effektivisering av off. sektor,2.53,3656,220,Nav som helhet,Total
Lavere tillit til offentlig sektor,1.92,3656,221,Nav som helhet,Total
Økte forventninger til brukermedvirkning,2.38,3656,222,Nav som helhet,Total
Digitaliseringen av offentlige tjenester øker,2.71,3656,223,Nav som helhet,Total
Økte forventninger til samarbeid på tvers av sektorer,2.49,3656,224,Nav som helhet,Total
Sentralisering av offentlige tjenester,2.17,3656,225,Nav som helhet,Total
Flere internasjonale konflikter/kriger,2.1,3656,226,Nav som helhet,Total
Økte forventninger til at off. tjenester har effekt,2.45,3656,227,Nav som helhet,Total
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.37,3656,228,Nav som helhet,Total
Økt mangel på arbeidskraft,2.38,3656,229,Nav som helhet,Total
Økende politisk polarisering og konfliktnivå i Norge,1.95,3656,230,Nav som helhet,Total
Aldring av befolkningen,1.82,395,1,Egne arbeidsoppgave,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt arbeidsinnvandring,1.67,395,2,Egne arbeidsoppgave,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere flyktninger,1.61,395,3,Egne arbeidsoppgave,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Grønt skifte og klimautfordringer,1.71,395,4,Egne arbeidsoppgave,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
